#Wordnet sign languages	gsg	sign-net.meine-dgs.de	IDGS, Hamburg University
00082081-v	gsg:lemma	dgs.13847
00086685-r	gsg:lemma	dgs.15926
00087454-v	gsg:lemma	dgs.67281
00088655-r	gsg:lemma	dgs.13082
00092366-n	gsg:lemma	dgs.13311
00093483-n	gsg:lemma	dgs.14552
00093483-n	gsg:lemma	dgs.28374
00101051-r	gsg:lemma	dgs.17722
00102736-r	gsg:lemma	dgs.13532
00102736-r	gsg:lemma	dgs.13650
00102736-r	gsg:lemma	dgs.74834
00105958-v	gsg:lemma	dgs.16497
00112090-r	gsg:lemma	dgs.15046
00117620-r	gsg:lemma	dgs.14891
00117903-r	gsg:lemma	dgs.14891
00127948-a	gsg:lemma	dgs.14891
00127948-a	gsg:lemma	dgs.18644
00134401-a	gsg:lemma	dgs.14225
00153263-v	gsg:lemma	dgs.15797
00153898-a	gsg:lemma	dgs.15047
00154270-a	gsg:lemma	dgs.15046
00154270-a	gsg:lemma	dgs.15047
00156601-v	gsg:lemma	dgs.13684
00156601-v	gsg:lemma	dgs.81344
00160659-r	gsg:lemma	dgs.14312
00161243-n	gsg:lemma	dgs.15445
00165906-r	gsg:lemma	dgs.15926
00167278-a	gsg:lemma	dgs.41495
00172710-n	gsg:lemma	dgs.13065
00172710-n	gsg:lemma	dgs.13126
00172710-n	gsg:lemma	dgs.13133
00172710-n	gsg:lemma	dgs.13280
00172710-n	gsg:lemma	dgs.13453
00172710-n	gsg:lemma	dgs.13463
00172710-n	gsg:lemma	dgs.13784
00172710-n	gsg:lemma	dgs.13785
00172710-n	gsg:lemma	dgs.14159
00172710-n	gsg:lemma	dgs.14292
00172710-n	gsg:lemma	dgs.14420
00172710-n	gsg:lemma	dgs.15072
00172710-n	gsg:lemma	dgs.15579
00172710-n	gsg:lemma	dgs.17603
00172710-n	gsg:lemma	dgs.26862
00172710-n	gsg:lemma	dgs.85847
00173338-v	gsg:lemma	dgs.44220
00178832-n	gsg:lemma	dgs.15614
00180413-n	gsg:lemma	dgs.13637
00196203-r	gsg:lemma	dgs.13082
00197182-r	gsg:lemma	dgs.16979
00197182-r	gsg:lemma	dgs.50412
00199659-v	gsg:lemma	dgs.13189
00200146-r	gsg:lemma	dgs.16392
00203922-r	gsg:lemma	dgs.13082
00205046-v	gsg:lemma	dgs.13706
00208557-r	gsg:lemma	dgs.68252
00222485-n	gsg:lemma	dgs.13893
00222485-n	gsg:lemma	dgs.14069
00222485-n	gsg:lemma	dgs.15039
00222485-n	gsg:lemma	dgs.17105
00222485-n	gsg:lemma	dgs.29408
00230335-a	gsg:lemma	dgs.87786
00240938-n	gsg:lemma	dgs.13239
00243180-a	gsg:lemma	dgs.13625
00249721-a	gsg:lemma	dgs.26558
00250181-v	gsg:lemma	dgs.13977
00250259-n	gsg:lemma	dgs.46957
00250691-v	gsg:lemma	dgs.13659
00251013-n	gsg:lemma	dgs.13096
00251013-n	gsg:lemma	dgs.13109
00251013-n	gsg:lemma	dgs.13110
00251013-n	gsg:lemma	dgs.13136
00251013-n	gsg:lemma	dgs.13189
00251013-n	gsg:lemma	dgs.13419
00251013-n	gsg:lemma	dgs.81403
00252019-v	gsg:lemma	dgs.49896
00252498-a	gsg:lemma	dgs.14509
00262792-a	gsg:lemma	dgs.26558
00264913-n	gsg:lemma	dgs.13189
00269258-n	gsg:lemma	dgs.13846
00282613-n	gsg:lemma	dgs.13706
00282613-n	gsg:lemma	dgs.18687
00296585-n	gsg:lemma	dgs.15808
00305570-r	gsg:lemma	dgs.13689
00306426-n	gsg:lemma	dgs.14476
00306426-n	gsg:lemma	dgs.15747
00306426-n	gsg:lemma	dgs.17602
00306426-n	gsg:lemma	dgs.17703
00306426-n	gsg:lemma	dgs.40809
00306426-n	gsg:lemma	dgs.74886
00308779-n	gsg:lemma	dgs.17602
00308779-n	gsg:lemma	dgs.3603
00322847-v	gsg:lemma	dgs.13156
00325110-n	gsg:lemma	dgs.13520
00325110-n	gsg:lemma	dgs.45470
00325110-n	gsg:lemma	dgs.45669
00329831-a	gsg:lemma	dgs.14420
00338817-a	gsg:lemma	dgs.26558
00339742-a	gsg:lemma	dgs.26558
00339941-a	gsg:lemma	dgs.14509
00351000-n	gsg:lemma	dgs.15934
00351168-n	gsg:lemma	dgs.14966
00351168-n	gsg:lemma	dgs.15341
00351168-n	gsg:lemma	dgs.17949
00358431-v	gsg:lemma	dgs.14862
00363110-v	gsg:lemma	dgs.15046
00363260-n	gsg:lemma	dgs.14569
00363260-n	gsg:lemma	dgs.17483
00373250-v	gsg:lemma	dgs.14041
00377002-v	gsg:lemma	dgs.13196
00377002-v	gsg:lemma	dgs.13198
00377364-n	gsg:lemma	dgs.15584
00377364-n	gsg:lemma	dgs.15585
00381097-a	gsg:lemma	dgs.14603
00381097-a	gsg:lemma	dgs.73247
00393105-a	gsg:lemma	dgs.13625
00393105-a	gsg:lemma	dgs.55503
00393105-a	gsg:lemma	dgs.55785
00393105-a	gsg:lemma	dgs.55847
00393105-a	gsg:lemma	dgs.56328
00393105-a	gsg:lemma	dgs.68305
00393105-a	gsg:lemma	dgs.68605
00409709-r	gsg:lemma	dgs.16606
00411009-a	gsg:lemma	dgs.15055
00418615-n	gsg:lemma	dgs.15428
00418615-n	gsg:lemma	dgs.87496
00428000-n	gsg:lemma	dgs.14457
00428000-n	gsg:lemma	dgs.14713
00428000-n	gsg:lemma	dgs.77036
00428404-a	gsg:lemma	dgs.13082
00432689-n	gsg:lemma	dgs.91390
00433802-n	gsg:lemma	dgs.18046
00433802-n	gsg:lemma	dgs.18311
00433802-n	gsg:lemma	dgs.31919
00437539-a	gsg:lemma	dgs.68252
00437744-a	gsg:lemma	dgs.68252
00440509-n	gsg:lemma	dgs.61425
00441523-a	gsg:lemma	dgs.15394
00442361-a	gsg:lemma	dgs.17722
00444519-a	gsg:lemma	dgs.16606
00446921-a	gsg:lemma	dgs.17444
00446921-a	gsg:lemma	dgs.31618
00446921-a	gsg:lemma	dgs.88555
00452512-v	gsg:lemma	dgs.13166
00459776-v	gsg:lemma	dgs.16922
00461782-n	gsg:lemma	dgs.17624
00461782-n	gsg:lemma	dgs.26026
00461782-n	gsg:lemma	dgs.88137
00467995-n	gsg:lemma	dgs.19191
00479275-r	gsg:lemma	dgs.18894
00479330-a	gsg:lemma	dgs.51275
00479887-n	gsg:lemma	dgs.16173
00480993-n	gsg:lemma	dgs.17232
00480993-n	gsg:lemma	dgs.17760
00482298-n	gsg:lemma	dgs.16584
00482298-n	gsg:lemma	dgs.43542
00488225-n	gsg:lemma	dgs.17731
00488225-n	gsg:lemma	dgs.50214
00498161-a	gsg:lemma	dgs.15200
00498161-a	gsg:lemma	dgs.15736
00498161-a	gsg:lemma	dgs.16407
00498161-a	gsg:lemma	dgs.17350
00498161-a	gsg:lemma	dgs.18752
00498161-a	gsg:lemma	dgs.29994
00498161-a	gsg:lemma	dgs.29998
00498161-a	gsg:lemma	dgs.30006
00498161-a	gsg:lemma	dgs.30008
00498161-a	gsg:lemma	dgs.30013
00498161-a	gsg:lemma	dgs.30019
00498161-a	gsg:lemma	dgs.30021
00499263-n	gsg:lemma	dgs.17181
00499263-n	gsg:lemma	dgs.64550
00503237-n	gsg:lemma	dgs.42709
00503237-n	gsg:lemma	dgs.48618
00510050-a	gsg:lemma	dgs.16606
00511555-n	gsg:lemma	dgs.14713
00517554-a	gsg:lemma	dgs.14932
00517728-n	gsg:lemma	dgs.14457
00517728-n	gsg:lemma	dgs.14610
00517728-n	gsg:lemma	dgs.14713
00517728-n	gsg:lemma	dgs.77036
00518669-n	gsg:lemma	dgs.61735
00518669-n	gsg:lemma	dgs.66209
00519333-n	gsg:lemma	dgs.42043
00519333-n	gsg:lemma	dgs.69312
00528667-n	gsg:lemma	dgs.48553
00543233-n	gsg:lemma	dgs.14911
00543233-n	gsg:lemma	dgs.76352
00575741-n	gsg:lemma	dgs.14264
00582388-n	gsg:lemma	dgs.65857
00584367-n	gsg:lemma	dgs.13544
00584367-n	gsg:lemma	dgs.13859
00584367-n	gsg:lemma	dgs.14264
00584367-n	gsg:lemma	dgs.14994
00584367-n	gsg:lemma	dgs.65857
00588888-v	gsg:lemma	dgs.15301
00588888-v	gsg:lemma	dgs.16378
00589469-v	gsg:lemma	dgs.15740
00591115-v	gsg:lemma	dgs.16378
00593852-v	gsg:lemma	dgs.15301
00594337-v	gsg:lemma	dgs.15427
00594337-v	gsg:lemma	dgs.15603
00594337-v	gsg:lemma	dgs.18777
00594621-v	gsg:lemma	dgs.13814
00595935-v	gsg:lemma	dgs.13727
00595935-v	gsg:lemma	dgs.30975
00595935-v	gsg:lemma	dgs.45153
00602805-v	gsg:lemma	dgs.13641
00603298-v	gsg:lemma	dgs.13641
00606370-n	gsg:lemma	dgs.14989
00606370-n	gsg:lemma	dgs.14994
00606370-n	gsg:lemma	dgs.15319
00609953-n	gsg:lemma	dgs.65857
00613018-v	gsg:lemma	dgs.40697
00613683-v	gsg:lemma	dgs.40697
00620752-n	gsg:lemma	dgs.13544
00620752-n	gsg:lemma	dgs.13859
00620752-n	gsg:lemma	dgs.14264
00620752-n	gsg:lemma	dgs.14994
00625119-v	gsg:lemma	dgs.15826
00629318-n	gsg:lemma	dgs.57499
00631391-a	gsg:lemma	dgs.13082
00631391-a	gsg:lemma	dgs.13555
00631798-a	gsg:lemma	dgs.13082
00634906-v	gsg:lemma	dgs.13114
00634906-v	gsg:lemma	dgs.13659
00635850-n	gsg:lemma	dgs.13850
00635850-n	gsg:lemma	dgs.15619
00635850-n	gsg:lemma	dgs.17830
00635850-n	gsg:lemma	dgs.26875
00635850-n	gsg:lemma	dgs.29586
00636921-n	gsg:lemma	dgs.13850
00636921-n	gsg:lemma	dgs.15619
00636921-n	gsg:lemma	dgs.26122
00639556-n	gsg:lemma	dgs.13918
00654885-n	gsg:lemma	dgs.13732
00654885-n	gsg:lemma	dgs.13847
00658082-n	gsg:lemma	dgs.15319
00666058-a	gsg:lemma	dgs.13531
00666058-a	gsg:lemma	dgs.31762
00668099-v	gsg:lemma	dgs.15046
00668099-v	gsg:lemma	dgs.17520
00668099-v	gsg:lemma	dgs.68252
00668805-v	gsg:lemma	dgs.13637
00668805-v	gsg:lemma	dgs.15046
00668805-v	gsg:lemma	dgs.68252
00681930-a	gsg:lemma	dgs.14040
00681930-a	gsg:lemma	dgs.15138
00681930-a	gsg:lemma	dgs.15202
00681930-a	gsg:lemma	dgs.62847
00682744-a	gsg:lemma	dgs.14913
00690058-a	gsg:lemma	dgs.13689
00696518-a	gsg:lemma	dgs.68252
00710260-a	gsg:lemma	dgs.15713
00715239-v	gsg:lemma	dgs.13659
00715239-v	gsg:lemma	dgs.32144
00717358-v	gsg:lemma	dgs.30372
00720063-v	gsg:lemma	dgs.13695
00722232-v	gsg:lemma	dgs.15095
00727564-a	gsg:lemma	dgs.14481
00729108-n	gsg:lemma	dgs.13647
00729378-v	gsg:lemma	dgs.18280
00752493-v	gsg:lemma	dgs.16392
00752493-v	gsg:lemma	dgs.65446
00753428-v	gsg:lemma	dgs.16392
00757080-n	gsg:lemma	dgs.15207
00757080-n	gsg:lemma	dgs.28622
00757080-n	gsg:lemma	dgs.47881
00764222-v	gsg:lemma	dgs.14368
00767826-n	gsg:lemma	dgs.13311
00779374-a	gsg:lemma	dgs.13082
00780889-n	gsg:lemma	dgs.13935
00783840-a	gsg:lemma	dgs.13186
00783840-a	gsg:lemma	dgs.13215
