sign_id_wordnet,sign_id_original,language,origin,video,links,gloss
dgs.13094,13094,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13094.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13094,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13094_de.html',DREHEN-KREIS1B^
dgs.13095,13095,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13095.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13095,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13095_de.html',DREHEN-KREIS1A^
dgs.13096,13096,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3355866_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13096,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13096_de.html',SAUBER-MACHEN1A^
dgs.13097,13097,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13097.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13097,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13097_de.html',RUND7^
dgs.13104,13104,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3253699_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13104,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13104_de.html',REGEL1A^
dgs.13106,13106,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/glex/filmegr/g13106.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13106,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13106_de.html',RÜTTELN1^
dgs.13109,13109,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13109,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13109_de.html',SAUBER-MACHEN4A^
dgs.13110,13110,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13110,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13110_de.html',SAUBER-MACHEN1B^
dgs.13111,13111,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3989190_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13111,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13111_de.html',LÖFFEL1A^
dgs.13112,13112,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13112,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13112_de.html',ÖFFNEN1A^
dgs.13114,13114,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3423309_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13114,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13114_de.html',AUFLÖSUNG1A^
dgs.13121,13121,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3495085_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13121,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13121_de.html',ESSEN2^
dgs.13123,13123,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3794436_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13123,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13123_de.html',ESSEN1^
dgs.13126,13126,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13126.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13126,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13126_de.html',MATERIAL1A^
dgs.13127,13127,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13127.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13127,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13127_de.html',MATERIAL1B^
dgs.13129,13129,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3812836_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13129,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13129_de.html',GEFÜHL3^
dgs.13130,13130,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3751224_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13130,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13130_de.html',ZITTERN1^
dgs.13133,13133,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3279369_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13133,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13133_de.html',ANFASSEN1A^
dgs.13135,13135,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13135.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13135,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13135_de.html',ANFASSEN1B^
dgs.13136,13136,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13136,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13136_de.html',SAUBER-MACHEN3A^
dgs.13139,13139,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13139.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13139,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13139_de.html',SCHNEIDEN5C^
dgs.13140,13140,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13140.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13140,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13140_de.html',SCHNEIDEN5B^
