sign_id_wordnet,sign_id_original,language,origin,video,links,gloss
bsl.2842,2842,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BO/BOUNCER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/bouncer-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2842',
bsl.2860,2860,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BR/BREATHE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/breathe-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2860',
bsl.2868,2868,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BR/BRIGHTON.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BRIGHTON.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2868',
bsl.2872,2872,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BR/BRISTOL.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BRISTOL.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2872',
bsl.2873,2873,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BR/BRISTOL2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BRISTOL02.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2873',
bsl.2875,2875,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BR/BRISTOL04-2875.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BRISTOL04.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2875',
bsl.2901,2901,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BR/BRUSSELS.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BRUSSELS.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2901',
bsl.2902,2902,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BU/BUDGERIGAR.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/budgerigar-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2902',
bsl.2932,2932,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CA/CAMBODIA.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/CAMBODIA.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2932',
bsl.2933,2933,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CA/CAMEL.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/camel-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2933',
